x,37,38,39,40,41,42,43,44,45,46,47,48
1,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.12,0.03,0.13
2,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.07,0.13
3,0.0,0.01,0.03,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.04,0.15
4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06
5,0.0,0.05,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.1,0.0,0.11
6,0.0,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.01,0.08,0.05,0.13
7,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.09,0.14
8,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.06,0.09,0.17
9,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.09,0.01,0.11
10,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.07,0.12
11,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.09
12,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.06,0.2
13,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.12,0.03,0.13
14,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.07,0.13
15,0.0,0.01,0.03,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.04,0.15
16,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06
17,0.0,0.05,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.1,0.0,0.11
18,0.0,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.01,0.08,0.05,0.13
19,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.09,0.14
20,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.06,0.09,0.17
21,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.09,0.01,0.11
22,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.07,0.12
23,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.09
24,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.06,0.2
25,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.09,0.14
26,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.06,0.09,0.17
27,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.09,0.01,0.11
28,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.07,0.12
29,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.09
30,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.06,0.2
31,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.12,0.03,0.13
32,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.07,0.13
33,0.0,0.01,0.03,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.04,0.15
34,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06
35,0.0,0.05,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.1,0.0,0.11
36,0.0,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.01,0.08,0.05,0.13
37,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.09,0.14
38,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.06,0.09,0.17
39,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.09,0.01,0.11
40,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.07,0.12
41,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.09
42,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.06,0.2
43,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.12,0.03,0.13
44,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.07,0.07,0.13
45,0.0,0.01,0.03,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.04,0.15
46,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06
47,0.0,0.05,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.1,0.0,0.11
48,0.0,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.01,0.08,0.05,0.13
